2010-01-03 09:32:55,890 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@6e8f94 | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 09:32:56,296 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 09:32:56,296 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 09:32:56,703 | INFO  | Listening for connections at: tcp://VStorm83:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2010-01-03 09:32:56,703 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-01-03 09:32:56,718 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1577-1262485976390-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 09:32:56,796 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:32:56,812 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:32:57,609 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-01-03 09:32:57,765 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-01-03 09:32:57,906 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:32:58,218 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-01-03 09:33:00,015 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-01-03 09:33:01,921 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:33:02,093 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:33:02,250 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:33:02,281 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 09:33:31,640 | INFO  | ActiveMQ Message Broker (localhost, ID:VStorm83-1577-1262485976390-0:0) is shutting down | org.apache.activemq.broker.BrokerService | Thread-10
2010-01-03 09:33:32,703 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-10
2010-01-03 09:33:32,703 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | Thread-10
2010-01-03 09:33:32,875 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1577-1262485976390-0:0) stopped | org.apache.activemq.broker.BrokerService | Thread-10
2010-01-03 23:11:50,875 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@1c286e2 | org.apache.activemq.broker.BrokerService | main
2010-01-03 23:11:52,703 | INFO  | Replayed 1 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2010-01-03 23:11:52,796 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2010-01-03 23:11:52,796 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2010-01-03 23:11:53,640 | INFO  | Listening for connections at: tcp://VStorm83:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2010-01-03 23:11:53,640 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2010-01-03 23:11:53,640 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1176-1262535112843-0:0) started | org.apache.activemq.broker.BrokerService | main
2010-01-03 23:11:53,812 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | main
2010-01-03 23:11:53,843 | INFO  | jetty-6.1.9 | org.mortbay.log | main
2010-01-03 23:11:55,015 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2010-01-03 23:11:55,406 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2010-01-03 23:11:55,640 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | main
2010-01-03 23:11:56,156 | INFO  | Initializing Spring root WebApplicationContext | /camel | main
2010-01-03 23:11:58,343 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | main
2010-01-03 23:12:00,625 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | main
2010-01-03 23:12:00,828 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | main
2010-01-03 23:12:01,000 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | main
2010-01-03 23:12:01,062 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | main
2010-01-03 23:12:18,078 | INFO  | ActiveMQ Message Broker (localhost, ID:VStorm83-1176-1262535112843-0:0) is shutting down | org.apache.activemq.broker.BrokerService | Thread-10
2010-01-03 23:12:19,656 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-10
2010-01-03 23:12:19,671 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | Thread-10
2010-01-03 23:12:20,203 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1176-1262535112843-0:0) stopped | org.apache.activemq.broker.BrokerService | Thread-10
2010-01-03 23:12:27,906 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@19da967 | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 23:12:29,453 | INFO  | Replayed 1 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2010-01-03 23:12:29,546 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 23:12:29,546 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 23:12:29,968 | INFO  | Listening for connections at: tcp://VStorm83:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2010-01-03 23:12:29,968 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-01-03 23:12:29,968 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1181-1262535149562-0:0) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 23:12:30,046 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:12:30,062 | INFO  | jetty-6.1.9 | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:12:30,687 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2010-01-03 23:12:30,843 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2010-01-03 23:12:31,062 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:12:31,312 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2010-01-03 23:12:33,031 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2010-01-03 23:12:34,687 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:12:34,875 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:12:35,031 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:12:35,046 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | WrapperSimpleAppMain
2010-01-03 23:13:13,671 | INFO  | ActiveMQ Message Broker (localhost, ID:VStorm83-1181-1262535149562-0:0) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-01-03 23:13:13,968 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-01-03 23:13:13,968 | INFO  | Connector vm://localhost Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-01-03 23:13:14,140 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:VStorm83-1181-1262535149562-0:0) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-01-03 23:13:19,390 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@6e8f94 | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2010-01-03 23:13:20,937 | INFO  | Replayed 1 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
